S No ,Medicine name,Salt Code,Salt name,Product ID,Product ID to be shown as Alternative,Note if same,Image link,Brand,MRP,Selling price,Discount,MRP of cheapest ,Savings ,Cheapest,Buy now button URL,Prescription required,Top Selling,Category,Sub Category,Packaging,Description,Storage,Side Effects,Precautions,Brand Code,Manufacturer address,Marketed by,Intro,Uses,Directions,Conten 4,Conten 5,Conten 6
138274,Leclyte M Solution 100 ML,1,1/1 ELECTROLYTE SOLUTION,A138274,A138274,This is already the recommended alternative,,Albert David,16.04,12.83,20%,12.83,20%,Yes,Hi. Look Leclyte M Solution 100 ML is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,ffff,f,,ffff,82,,Albert David,,,,d,e,f
138275,Leclyte M Solution 500 ML,1,1/1 ELECTROLYTE SOLUTION,A138275,A138274,,,Albert David,92,73.6,20%,12.83,86%,No,Hi. Look Leclyte M Solution 500 ML is available at 20% discount on DavaDekho.com,Yes,Yes,NA,NA,4 units in a pack,,,,,82,,Albert David,,,,d,e,f
128381,Equasol Solution 500 ML,1,1/1 ELECTROLYTE SOLUTION,A128381,A138274,,,Sunways (india) Pvt Ltd,147.5,118,20%,12.83,91%,No,Hi. Look Equasol Solution 500 ML is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,1144,"JAI PRAKASH ROAD NO.2,GOREGOAN (EAST), MUMBAI-4 63. Maharashtra - India",Sunways (india) Pvt Ltd,,,,d,e,f
136826,Kabilyte Syrup 500 ML,1,1/1 ELECTROLYTE SOLUTION,A136826,A138274,,,Fresenius Kabi India Pvt Ltd,156.62,125.3,20%,12.83,92%,No,Hi. Look Kabilyte Syrup 500 ML is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,547,"Fresenius Kabi India Pvt. Ltd. Fifth Floor, A Wing, Ashoka Plaza Pune-Nagar Road, Survey No. 32/2 Vadgaon Sheri, Viman Nagar Pune - 411 14 (India)",Fresenius Kabi India Pvt Ltd,,,,d,e,f
135937,Irigan P Solution 500 ML,1,1/1 ELECTROLYTE SOLUTION,A135937,A138274,,,Ordain Healthcare Pvt. Ltd,195,156,20%,12.83,93%,No,Hi. Look Irigan P Solution 500 ML is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,91,"Phoenix Paragon Plaza, Unit no. 4B-11-15, 4th Floor Phoenix Marketcity, Lal Bahadur Shastri Rd, Kamani, Kurla (W, Mumbai, Maharashtra 47",Ordain Healthcare Pvt. Ltd,,,,d,e,f
148713,Ors Apple Liquid 200 ML,2,1/1 ELECTROLYTE SOLUTIONS (NA (200 ML),A148713,A148713,This is already the recommended alternative,https://url.mcro.site/cache/plugins/filepreviewer/20439/9f9140611840de4021cd06a1920bb6c98d19385a51d7f3df44ef527acf34bf88/280x280_middle.jpg,Cipla Ltd.,35,31.5,10%,31.5,10%,Yes,Hi. Look Ors Apple Liquid 200 ML is available at 10% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,384,,Cipla Ltd.,,,,d,e,f
136825,Kabilyte 50 MG Injection 1 ML,3,1/1 ELECTROLYTE SOLUTIONS (NA + > 120 MMOL/L),A136825,A136825,This is already the recommended alternative,,Fresenius Kabi India Pvt Ltd,215,172,20%,172,20%,Yes,Hi. Look Kabilyte 50 MG Injection 1 ML is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,547,"Fresenius Kabi India Pvt. Ltd. Fifth Floor, A Wing, Ashoka Plaza Pune-Nagar Road, Survey No. 32/2 Vadgaon Sheri, Viman Nagar Pune - 411 14 (India)",Fresenius Kabi India Pvt Ltd,,,,d,e,f
153548,Recofast 0.60/1.2 MG Lozenges 4,4,"2,4-DICHLOROBENZYL ALCOHOL (1.2 MG) + AMYLMETACRESOL (0.6 MG)",A153548,A153548,This is already the recommended alternative,,Shreya Life Sciences Pvt. Ltd,11.81,9.45,20%,9.45,20%,Yes,Hi. Look Recofast 0.60/1.2 MG Lozenges 4 is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,193,"31/A, 6th Floor, Shreya House, Periera Hill Road, Andheri East, Mumbai - 499, Off Andheri Kurla Road, Opposite Cinemax Cinema",Shreya Life Sciences Pvt. Ltd,,,,d,e,f
153554,Recofast Orange 0.6/1.2 MG Lozenges 4,4,"2,4-DICHLOROBENZYL ALCOHOL (1.2 MG) + AMYLMETACRESOL (0.6 MG)",A153554,A153548,,,Shreya Life Sciences Pvt. Ltd,11.81,9.45,20%,9.45,20%,No,Hi. Look Recofast Orange 0.6/1.2 MG Lozenges 4 is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,193,,Shreya Life Sciences Pvt. Ltd,,,,d,e,f
121526,Cofsils Orange 1.2/0.6 MG Lozenges 10,4,"2,4-DICHLOROBENZYL ALCOHOL (1.2 MG) + AMYLMETACRESOL (0.6 MG)",A121526,A153548,,https://url.mcro.site/cache/plugins/filepreviewer/10352/92782397d7b91579085d651a24197a2fe311cf3bfd0e6d351d195821aec62f62/280x280_middle.jpg,Cipla Ltd.,35,23.2,34%,9.45,73%,No,Hi. Look Cofsils Orange 1.2/0.6 MG Lozenges 10 is available at 34% discount on DavaDekho.com,Yes,Yes,NA,NA,4 units in a pack,,,,,384,,Cipla Ltd.,,,,d,e,f
