Pincode,City Name,State,Top City,Delivery Fees ,Delivery Fees > 500 Rs ,Delivery Fees > 1000 Rs ,Order and packing fees ,Delivery Time,Servicable ,Prescriptions,Cart Orders ,Whatsapp Tap,COD,Online
743145,24 Paraganas North,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
743126,24 Paraganas North,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
743127,24 Paraganas North,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
700110,24 Paraganas North,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
700083,24 Paraganas North,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
700059,24 Paraganas North,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
700156,24 Paraganas North,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
743165,24 Paraganas North,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
700121,24 Paraganas North,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
700157,24 Paraganas North,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
743221,24 Paraganas North,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
743232,24 Paraganas North,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
743235,24 Paraganas North,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
743233,24 Paraganas North,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
743234,24 Paraganas North,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
743245,24 Paraganas North,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
743247,24 Paraganas North,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
743424,24 Paraganas North,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
743423,24 Paraganas North,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
743249,24 Paraganas North,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
743251,24 Paraganas North,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
743222,24 Paraganas North,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
700128,24 Paraganas North,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
743702,24 Paraganas North,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
743294,24 Paraganas North,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
700113,24 Paraganas North,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
700119,24 Paraganas North,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
743135,24 Paraganas North,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
700112,24 Paraganas North,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
700159,24 Paraganas North,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
743248,24 Paraganas North,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
700132,24 Paraganas North,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
743286,24 Paraganas North,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
700051,24 Paraganas North,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
700163,24 Paraganas North,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
743252,24 Paraganas North,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
743262,24 Paraganas North,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
743263,24 Paraganas North,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
743270,24 Paraganas North,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
743273,24 Paraganas North,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
743438,24 Paraganas North,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
743289,24 Paraganas North,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
743290,24 Paraganas North,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
700131,24 Paraganas North,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
700125,24 Paraganas North,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
743701,24 Paraganas North,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
743405,24 Paraganas North,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
743711,24 Paraganas North,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
743287,24 Paraganas North,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
743425,24 Paraganas North,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
743401,24 Paraganas North,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
700035,24 Paraganas North,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
700108,24 Paraganas North,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
700028,24 Paraganas North,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
700052,24 Paraganas North,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
700036,24 Paraganas North,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
743710,24 Paraganas North,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
700129,24 Paraganas North,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
700091,24 Paraganas North,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
700048,24 Paraganas North,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
700160,24 Paraganas North,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
700161,24 Paraganas North,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
700077,24 Paraganas North,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
700065,24 Paraganas North,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
700080,24 Paraganas North,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
700090,24 Paraganas North,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
743297,24 Paraganas North,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
743456,24 Paraganas North,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
743291,24 Paraganas North,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
743437,24 Paraganas North,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
743412,24 Paraganas North,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
743422,24 Paraganas North,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
743445,24 Paraganas North,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
743426,24 Paraganas North,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
743439,24 Paraganas North,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
743435,24 Paraganas North,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
743292,24 Paraganas North,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
743427,24 Paraganas North,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
743442,24 Paraganas North,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
743446,24 Paraganas North,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
743704,24 Paraganas North,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
743272,24 Paraganas North,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
700126,24 Paraganas North,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
743411,24 Paraganas North,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
743293,24 Paraganas North,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
743428,24 Paraganas North,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
743271,24 Paraganas North,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
700130,24 Paraganas North,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
743429,24 Paraganas North,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
700136,24 Paraganas North,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
743166,24 Paraganas North,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
743223,24 Paraganas North,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
700127,24 Paraganas North,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
700124,24 Paraganas North,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
700055,24 Paraganas North,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
700102,24 Paraganas North,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
700101,24 Paraganas North,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
700097,24 Paraganas North,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
700162,24 Paraganas North,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
700030,24 Paraganas North,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
700074,24 Paraganas North,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
700111,24 Paraganas North,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
743268,24 Paraganas North,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
700133,24 Paraganas North,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
700089,24 Paraganas North,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
700064,24 Paraganas North,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
700106,24 Paraganas North,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
700056,24 Paraganas North,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
700120,24 Paraganas North,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
700155,24 Paraganas North,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
700057,24 Paraganas North,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
700114,24 Paraganas North,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
700081,24 Paraganas North,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
700115,24 Paraganas North,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
700117,24 Paraganas North,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
743144,24 Paraganas North,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
743128,24 Paraganas North,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
743123,24 Paraganas North,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
743133,24 Paraganas North,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
743125,24 Paraganas North,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
700122,24 Paraganas North,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
700123,24 Paraganas North,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
700076,24 Paraganas North,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
700079,24 Paraganas North,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
700058,24 Paraganas North,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
700049,24 Paraganas North,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
700118,24 Paraganas North,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
743134,24 Paraganas North,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
743136,24 Paraganas North,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
743122,24 Paraganas North,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
743124,24 Paraganas North,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
743194,24 Paraganas North,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
700109,24 Paraganas North,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
700116,24 Paraganas North,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
700158,24 Paraganas North,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
700134,24 Paraganas North,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
743130,24 Paraganas North,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
743129,24 Paraganas North,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
743193,24 Paraganas North,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
743318,24 Paraganas South,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
743503,24 Paraganas South,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
743329,24 Paraganas South,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
743330,24 Paraganas South,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
743372,24 Paraganas South,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
743399,24 Paraganas South,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
743504,24 Paraganas South,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
743513,24 Paraganas South,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
743336,24 Paraganas South,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
700137,24 Paraganas South,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
743378,24 Paraganas South,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
700154,24 Paraganas South,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
743370,24 Paraganas South,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
743337,24 Paraganas South,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
743349,24 Paraganas South,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
743610,24 Paraganas South,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
700141,24 Paraganas South,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
700145,24 Paraganas South,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
743354,24 Paraganas South,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
743338,24 Paraganas South,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
700152,24 Paraganas South,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
743611,24 Paraganas South,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
